Company,# of posting,Skill
Cubic Transportation Systems India Pvt. Ltd.,24,"Unix, Graphics, PLM, Computer science, Vista, Networking...#####Change management, Performance management, Networking...#####Networking, Analytical, Reconciliation, Support services, Wellness...#####Change management, Data migration, metadata, Networking, SOA, Analytical...#####Unix, Wireless, TCP, Networking, Linux, WAN, LAN, DNS, Troubleshooting...#####Training, E-learning, PDF, LMS, Networking, Illustrator, Support services...#####Unix, Graphics, PLM, Computer science, Vista, Networking...#####Change management, Performance management, Networking...#####Networking, Analytical, Reconciliation, Support services, Wellness...#####Change management, Data migration, metadata, Networking, SOA, Analytical...#####Unix, Wireless, TCP, Networking, Linux, WAN, LAN, DNS, Troubleshooting...#####Training, E-learning, PDF, LMS, Networking, Illustrator, Support services...#####ERP, SAP, Networking, Helpdesk, Project management, Scheduling...#####ERP, SAP, Networking, Helpdesk, Project management, Scheduling...#####ERP, SAP, Networking, Helpdesk, Business analysis, Project management...#####Computer science, Training, Administration, Payroll, SAP, SAP HCM, HCM...#####ERP, SAP, Networking, Helpdesk, Business analysis, Project management...#####Procurement, ERP, SAP, Networking, Helpdesk, Project management, Scheduling...#####Linux, Networking, XML, Software Development Manager, Agile, Windows...#####Object oriented design, Core Java, Bluetooth, Software design, GIT...#####Unix, Computer science, Data analysis, Networking, Coding, Debugging, Toad,...#####Performance tuning, Web services, Production support, Networking, Debugging...#####Mining, Data analysis, Operations research, Networking, Analytical, MySQL...#####Mining, Data analysis, Operations research, Networking, Analytical, Manager..."
DLabs at the Indian School of Business,3,"Cloud computing, Data analysis, Social media, Machine learning, Engineering...#####Statistical programming, Computer science, Data analysis...#####Economics, Administration, CVS, LMS, Excel, Accounting, Social media..."
DM CONSULTING (INDIA) PVT LTD,5,"Technical product configuration, c++, C, design, MySQL, JavaScript...#####assembly language, Six Sigma, PMP, C, JavaScript...#####assembly language, Six Sigma, PMP, C, JavaScript...#####assembly language, Six Sigma, PMP, C, JavaScript...#####assembly language, Six Sigma, PMP, C, JavaScript..."
DXC Technology,10,"Change management, SAP, Project management, Configuration management...#####Service delivery, Change management, Project management...#####Business administration, Interpersonal skills, Business Analyst...#####Business administration, Interpersonal skills, Business Analyst...#####Change management, SAP, Project management, Configuration management...#####Service delivery, Change management, Project management...#####Business administration, Interpersonal skills, Business Analyst...#####Business administration, Interpersonal skills, Business Analyst...#####Training, Change management, Statistical analysis, Business analysis, UML...#####Computer science, Interpersonal skills, Networking, data security..."
DXC Technology India Private Limited,1,"VMware, solution architecture, solution design, solution architect..."
DataRPM India Private Limited,1,"Aix, VMware, SAN, C++, Automation, Linux, Solaris, Configuration management..."
Dell International Services India Private Limited,5,"C#, Software Development Life Cycle, Unit Testing, VSTS, ASP.Net...#####server, code, technical, software, functions, configuration, administration...#####Application Development, Cloud Foundry, Software Engineering...#####Intrusion Detection, Networking, Security+, Network Security...#####Intrusion Detection, Networking, Security+, Network Security..."
Deloitte,1,"PCI DSS, risk assessment, ISO 27001, disaster recovery, Bcp, DR..."
Deloitte Consulting India Private Limited,31,"Reporting Services, DTS, Unit Testing, MS Access, Project Management, SSRS,...#####Software Development, Project Management, Web Technologies, Javascript...#####Reporting Services, DTS, Unit Testing, MS Access, Project Management, SSRS,...#####Software Development, Project Management, Web Technologies, Javascript...#####Advisory Services, ECC, Capacity Planning, NWDI, NetWeaver...#####data modeling., project management, PMP, pmo, VBA, business strategy...#####Cism, Root Cause Analysis, Technical Specialist...#####Cism, Root Cause Analysis, Technical Specilaist...#####Windows Operating Systems, System Development, MSI, VB SCRIPT...#####Change Control, Data Integrity, Customization, Salesforce.com, Agile...#####Angularjs, CSS, Service Now Developer, DOM, Web Technologies, Schema...#####Security Analysis, Cloud Security, Cyber Security, Finance, ISO 27001, SIEM...#####C#, CSS, Windows Forms, Dot Net Developer, Javascript, WCF, SQL Server...#####TBM Communications, Storyboards, Senior Analyst, Content...#####technical support, active directory, cyberark, iam, incident management...#####Multicast, Network Engineering, Networking, Bgp, Cisco Certified...#####Ethical Hacking, Checkpoint, Networking, Juniper, Security+, Ceh...#####Cyber Security, Risk Governance, Cisa, ISO 27001, Information Security...#####C#, Application Architecture, Software Development Methodologies...#####Cism, Cisa, Relationship Management, Finance, ISO 27001...#####Software Development, Application Architecture, Technical Design...#####Cism, Cisa, Finance, Relationship Management, ISO 27001...#####Cism, Java EE, Cloud Security, CCSP, Cloud Foundry, Cissp, CISA, EAI...#####Learning, C#, Administration, Rest, Xamarin, SQLite, Xamarin.iOS...#####Cism, Cisa, Compliance, ISO 27001, Information Security, Cissp...#####Financial Reporting, Financial Transformation, Finance Function, CMA...#####ISO 27001, Compliance Management, Technology Risk, Risk Compliance, SDLC...#####Cism, Cloud Security Governance, Cloud Security, Cyber Security, Compliance...#####Java, System Development, Advisory Services, Application Architecture...#####Cloud Security, IT Asset Management, Identity Access Management...#####Enterprise Mobility, Application Architecture, Detail Design..."
Digitalogy Consulting,1,"Xcode, SWIFT, Objective C, SDK, Mobile App Designing, iOS"
